Hour   Snow Flag   Rain Flag
    1        1           0
    2        1           0
    3        1           0
    4        1           0
    5        1           0
    6        9           9
    7        9           9
    8        0           0
    9        9           9
   10        9           9
   11        1           0
   12        1           0
   13        1           0
   14        1           0
   15        9           9
   16        1           0
   17        1           0
   18        1           0
   19        9           9
   20        1           0
   21        1           0
   22        9           9
   23        0           0
   24        1           0
