Hour   Snow Flag   Rain Flag
    1        1           0
    2        1           0
    3        1           0
    4        1           0
    5        1           0
    6        9           9
    7        1           0
    8        1           0
    9        1           0
   10        1           0
   11        8           8
   12        1           0
   13        1           0
   14        1           0
   15        1           0
   16        1           0
   17        1           0
   18        1           0
   19        1           0
   20        1           0
   21        9           9
   22        9           9
   23        1           0
   24        9           9
